dataset,origin,id,doc,summ,model_name,cut,error_type,annotated_span
CLIFF,xsum,34687720,"France's Dubuisson carded a 67 to tie with overnight leader Van Zyl of South Africa on 16 under par. McIlroy carded a third straight five under-par 67 to move to 15 under par with Thailand's Kiradech Aphibarnrat. The world number three's round included an eagle on the 12th as he bids to win his first title since May.""The 67s I've shot this week have all been a little different and I feel like I've played within myself for all of them,"" said four-time major winner McIlroy of Northern Ireland.""I feel there's a low round out there for me and hopefully it's tomorrow."" McIlroy was level par for the day after 10 holes, dropping his first shots of the week by three-putting the third and 10th, the latter mistake prompting the 26-year-old to throw his putter at his bag. But he hit back with a birdie on the par-five 11th and a towering four iron from 229 yards on the 13th set up an eagle from just four feet. The former world number one ruptured a ligament in his left ankle during a game of football with friends in July, ruling him out of several tournaments. But he returned in time to unsuccessfully defend his US PGA title at Whistling Straits in August and played in three of the FedEx Cup play-off events before starting the new PGA Tour season with a tie for 26th in the Frys.com Open in California. He is targeting a third Race to Dubai title in four years and leads England's Danny Willett by 271, 214 points with three events remaining after the Turkish Open. English pair Chris Wood (-13) and Richard Bland (-12) who were tied for second overnight are fifth and seventh respectively.","Rory McIlroy is three shots behind leader Jaco van Zyl after the second round of the Nedbank Golf Challenge in South Africa, as Thomas Dubuisson moved into a three-way tie for the lead with fellow Englishman Lee Westwood and world number one Marc Warren.",BART,val,['extrinsic-NP'],"['three', 'second', 'Nedbank Golf Challenge in South Africa', 'Thomas', 'Englishman Lee Westwood', 'Marc Warren']"
CLIFF,xsum,29347895,"He died at his home in Cambridge following an illness lasting several months, a statement on his website said. It added his funeral will be private, with a memorial service to be held at a later date. Hogwood worked with many leading orchestras around the world and was considered one of the most influential exponents of the early-music movement. The conductor founded the Academy of Ancient Music (AAM) in 1973 and directed the academy across six continents for some 30 years. The AAM also made more than 200 CDs, including the first-ever complete cycle of Mozart symphonies on period instruments. Among his most famous recordings include the 1980 version of Handel's Messiah with Emma Kirkby and Carolyn Watkinson, which was named by BBC Music Magazine as one of the top 20 recordings of all time. Hogwood studied keyboard at Cambridge University with Rafael Puyana and Mary Potts and later with Zuzana Ruzickova and Gustav Leonhardt. His first positions were as a keyboard player and musicologist with the Academy of Saint Martin-in-the-Fields under Sir Neville Marriner, and was a founder member of the Early Music Consort of London. He was the artistic director of the King's Lynn Festival and Boston's Handel and Haydn Society. He was also a tutor at Harvard University, honorary professor of music at the University of Cambridge and a professor-at-large at Cornell University in the US.""Christopher had extraordinary generosity of spirit,"" Christopher Purvis, honorary president of the AAM, said.""He was a great ambassador for historically informed music, the movement of which he was a founder. And he was happy to see the orchestra he founded develop and grow after he stepped down as director."" The AAM's music director Richard Egarr added:""I am deeply saddened by the news of Christopher's passing. Christopher provided a fantastic legacy for me to build upon when I joined in 2006 and I know he will be greatly missed by all who knew and worked with him."" Speaking to Sean Rafferty on Radio 3's In Tune, soprano Dame Emma Kirkby said:""Some of the best players that now lead orchestras all over the world, they started with him.""Chris was a natural academic, an incredibly clever man. He had an amazing capacity to absorb information of all kinds and a really sure sense of how things would be if he really tried to reproduce conditions... a very genial person."" David Thomas from Trinity Laban Conservatoire of Music and Dance, London added:""He always said I want the music to speak for itself because it can, it's good enough, it willa?| a very pleasant and lovely man.""","British conductor and musicologist Christopher Hogwood, the founder of the Academy of Ancient Music, has died at the age of 83.",BART,val,['extrinsic-NP'],['83']
CLIFF,xsum,22299596,"Gareth Colfer-Williams, 25, died last week at his home in Swansea, the city at the centre of an epidemic of the disease which has reached 942 cases. But the examination was unable to establish whether measles was the main cause of his death. An inquest will be opened and adjourned on Tuesday to allow further tests. Since the outbreak began in November, 83 people have needed hospital treatment for the illness. Mr Colfer-Williams'mother, Angela Colfer said her son had recently been treated at Swansea's Morriston Hospital for asthma. A few days after he was discharged he became unwell and developed a rash. Mrs Colfer said her son went to see an out-of-hours GP on 17 April with a rash""from head to foot"" but not on his arms. The following morning, Mr Colfer-Williams was found dead at his flat. Public Health Wales said on Friday that laboratory tests confirmed a diagnosis of measles but further tests were needed to determine the cause of death. The family said they had no idea how Mr Colfer-Williams got measles as no close family member has it, including his three-year-old daughter who has been vaccinated.",An inquest into the death of a man who died of measles has been opened and adjourned after a post-mortem examination failed to establish how he got the illness.,BART,val,['intrinsic-predicate'],['how he got the illness']
CLIFF,xsum,34593064,"Vincent Hudson has been charged with the historical offence on a boy under the age of 16, Cumbria Police said. A spokesman for the force said the attack was reported to have taken place in 2001. Mr Hudson, 54, of Loweswater Avenue, Whitehaven, is due to appear before North Cumbria Magistrates'Court later, the spokesman added.",A man has been charged with raping a boy in Cumbria.,BART,test,['extrinsic-predicate'],['raping']
CLIFF,xsum,39263182,"Neil Aspin's promotion-chasing hosts have not lost in nine National League matches while Adam Lockwood's side are unbeaten in five. Guiseley went ahead on 15 minutes against the run of play when a throw-in found James Hurst who squared to Jake Lawlor to stroke into an empty net. Gateshead defender Liam Hogan superbly blocked Jordan Preston's effort and Guiseley keeper Jonny Maxted then saved well from Wesley York's shot just before the break. The hosts, who started the second half well, levelled on 62 minutes when a slip by half-time substitute Derek Asamoah let York curl sweetly into the top-right corner from the edge of the box. Match report supplied by the Press Association. Match ends, Gateshead 1, Guiseley 1. Second Half ends, Gateshead 1, Guiseley 1. Substitution, Guiseley. Michael Rankine replaces Jordan Preston. Substitution, Gateshead. Luke Hannant replaces Gus Mafuta. Gus Mafuta (Gateshead) is shown the yellow card. Substitution, Guiseley. Adam Boyes replaces Jake Cassidy. Goal! Gateshead 1, Guiseley 1. Wes York (Gateshead). Substitution, Guiseley. Derek Asamoah replaces Kevan Hurst. Second Half begins Gateshead 0, Guiseley 1. First Half ends, Gateshead 0, Guiseley 1. Simon Walton (Guiseley) is shown the yellow card. Goal! Gateshead 0, Guiseley 1. Jake Lawlor (Guiseley). First Half begins. Lineups are announced and players are warming up.",Gateshead and Guiseley maintained their unbeaten starts to the season with a 1-1 draw at the International Stadium.,BART,val,['intrinsic-NP'],['starts to the season']
CLIFF,xsum,38333121,"Angus Carpenter, of Liverpool, who has played in the city centre for more than 30 years, denied three counts of fraud. The 62-year-old was found guilty of one count when he played with a Hillsborough Justice Campaign banner draped on his bagpipes in April 2015. He was cleared of the two other counts by a jury at Liverpool Crown Court. Sgt Chris Gaynor told the court during the two day trial that Carpenter, from Woolton, gave the impression he was collecting cash for the Hillsborough Justice Campaign. In his defence, Carpenter-who usually wears a kilt and piper's regalia when he performs-said he had piped for the charity in the past but on this occasion he was simply busking. Kenneth Derbyshire, chairman of the Hillsborough Justice Campaign, said he had given Carpenter permission to design and display a banner featuring the eternal flame and the word justice. But he said he had made it clear he was not use it to collect funds for the charity. Carpenter told the court the banner was a tribute to the victims, not an attempt to deceive anyone. He also told the court he was a familiar face on match days at Anfield and known as a busker to the Hillsborough Justice Campaign. He will be sentenced in January.","A bagpipes player has been found guilty of defrauding a Hillsborough charity out of more than ?¡°o 1,000.",BART,val,"['intrinsic-NP', 'extrinsic-NP']","['a Hillsborough charity', 'more than ?¡°o 1,000']"
CLIFF,xsum,38034979,"Grant Ward's scuffed shot put Town ahead before Luke Varney rolled the ball into an empty net after QPR keeper Alex Smithies miscued a clearance. Cole Skuse's long-range shot fell to Tom Lawrence, who capped the scoring with a calm finish into the corner. Rangers offered little in attack, but sub Sandro headed Tjarron Cherry's corner against the post late on. Ipswich had failed to score in seven of their previous 10 Championship games, but could have had plenty more, with Christophe Berra heading wide from six yards, and Skuse firing a volley straight at Smithies. The Rs have won only once in their last six matches away from Loftus Road, and rarely looked like improving that record in Ian Holloway's second game in charge. The win lifted Mick McCarthy's Ipswich up four places to 14th and above Rangers, who slipped to 15th. Ipswich manager Mick McCarthy:""The irony was that poor old Alex Smithies cost them the second goal which set us up to win as comprehensively as we did. He then kept it from being an embarrassing scoreline, but I'll take three.""With Luke Varney and also Jonathan Douglas, I knew what I was going to get-even though I bet some people weren't thinking that when they saw the teamsheet. Luke epitomised everything what I want in this team.""We have not been bristling with confidence. I have had a couple of rotten weekends after Rotherham and Nottingham Forest. But hopefully Ipswich can be a happier place than it has been."" QPR boss Ian Holloway:""I am sure everyone will say everything hinged on the second goal, but it shouldn't have.""The goal was a calamity and after that we were awful and it could have been four or five.""Everyone will blame my keeper but I won't as my defenders should have made an angle for him. Even with my legs, I would have ran back and tried to help him.""My players need to be mentally tougher as a group. I am disappointed with how we finished today. We have got to try and be a bigger, braver and more solid team."" Match ends, Ipswich Town 3, Queens Park Rangers 0. Second Half ends, Ipswich Town 3, Queens Park Rangers 0. Attempt saved. Yeni N'Gbakoto (Queens Park Rangers) right footed shot from outside the box is saved in the bottom left corner. Yeni N'Gbakoto (Queens Park Rangers) wins a free kick in the attacking half. Foul by Luke Chambers (Ipswich Town). Attempt saved. Freddie Sears (Ipswich Town) right footed shot from the centre of the box is saved in the bottom left corner. Assisted by Jonathan Douglas. Offside, Ipswich Town. Leon Best tries a through ball, but Jonathan Douglas is caught offside. Attempt saved. David McGoldrick (Ipswich Town) right footed shot from the centre of the box is saved in the top centre of the goal. Assisted by Leon Best. Attempt saved. Freddie Sears (Ipswich Town) right footed shot from outside the box is saved in the centre of the goal. Assisted by Cole Skuse. Karl Henry (Queens Park Rangers) wins a free kick in the defensive half. Foul by Jonathan Douglas (Ipswich Town). Offside, Queens Park Rangers. Alex Smithies tries a through ball, but Idrissa Sylla is caught offside. Sandro (Queens Park Rangers) wins a free kick in the defensive half. Foul by David McGoldrick (Ipswich Town). Attempt blocked. Cole Skuse (Ipswich Town) right footed shot from outside the box is blocked. Corner, Ipswich Town. Conceded by Grant Hall. Karl Henry (Queens Park Rangers) wins a free kick in the attacking half. Foul by Cole Skuse (Ipswich Town). Attempt missed. Jonathan Douglas (Ipswich Town) header from the centre of the box is close, but misses to the left. Assisted by Freddie Sears with a cross following a corner. Corner, Ipswich Town. Conceded by Alex Smithies. Attempt saved. Grant Ward (Ipswich Town) right footed shot from the centre of the box is saved in the bottom left corner. Assisted by Freddie Sears with a through ball. Alex Smithies (Queens Park Rangers) wins a free kick in the defensive half. Foul by Jonathan Douglas (Ipswich Town). Corner, Ipswich Town. Conceded by Alex Smithies. Attempt saved. David McGoldrick (Ipswich Town) right footed shot from the right side of the box is saved in the bottom left corner. Assisted by Grant Ward. Attempt missed. David McGoldrick (Ipswich Town) right footed shot from more than 35 yards misses to the left. Assisted by Cole Skuse following a set piece situation. Substitution, Ipswich Town. Leon Best replaces Tom Lawrence. Foul by Nedum Onuoha (Queens Park Rangers). Grant Ward (Ipswich Town) wins a free kick in the attacking half. Corner, Queens Park Rangers. Conceded by Grant Ward. Corner, Queens Park Rangers. Conceded by Adam Webster. Sandro (Queens Park Rangers) wins a free kick in the defensive half. Foul by Jonathan Douglas (Ipswich Town). Sandro (Queens Park Rangers) hits the right post with a header from the right side of the six yard box. Assisted by Tjaronn Chery with a cross following a corner. Corner, Queens Park Rangers. Conceded by Christophe Berra. Attempt missed. David McGoldrick (Ipswich Town) right footed shot from outside the box misses to the right. Assisted by Tom Lawrence. Foul by Sandro (Queens Park Rangers). Jonathan Douglas (Ipswich Town) wins a free kick in the defensive half. Foul by Karl Henry (Queens Park Rangers). Cole Skuse (Ipswich Town) wins a free kick on the left wing.",Ipswich Town ended a run of three straight Championship defeats with a comfortable victory over QPR at Portman Road.,BART,test,['extrinsic-NP'],['three straight Championship defeats']
CLIFF,xsum,36329854,"Wells, 23, impressed in the T20 Blast last season, scoring 373 runs at 28.69-with a strike rate of 138.66. Wells said:""It's clear that the club is going in the right direction and it's really exciting.""The environment created by the coaches is of elite performance and it's making the lads want to be a part of it.""",Worcestershire batsman Liam Wells has signed a two-year contract extension with the county until the end of the 2018 season.,BART,val,['extrinsic-entire_sent'],['Worcestershire batsman Liam Wells has signed a two-year contract extension with the county until the end of the 2018 season.']
CLIFF,xsum,38595401,"The Reds, who are fifth in National Two South, beat third-placed Chinnor 29-12 for a second win in a row.""Tommy Phillips, Ben Priddey and Craig Williams really led the team from the front,"" Churcher told BBC Cornwall.""If your front row and front five are making 70-plus tackles in a game you're going to be doing well and that's what happened against Chinnor."" The Reds face seven teams who are below them in the table in their next eight games, as well as league leaders Old Elthamians. Churcher believes his side still has a lot of room for improvement, adding:""Chinnor wasn't the complete performance, but emotionally it was a really dogged performance.""We've got to build on what we did last weekend, because if we don't, last weekend will have been a waste of time.""",Cornish Reds head coach Chris Churcher has praised his side's front row after they beat Chinnor in their latest National Two South game.,BART,test,['extrinsic-NP'],"['Cornish', 'Chris']"
CLIFF,xsum,33183140,"The police allege 28-year-old Nazrul, also called Nazu, was the man who raped the 74-year-old nun. The man, allegedly a Bangladeshi citizen, was arrested at a railway station in Kolkata (Calcutta). The incident caused outrage in India and led to street protests in many cities across the country. This marks the sixth arrest in the crime. Police have identified eight suspects in the attack, of which two still remain untraced.""All the five accused arrested earlier have named Nazrul as the person who raped the nun,"" a police officer told the BBC. Dilip Kumar Adak, deputy inspector general of the state's Criminal Investigation Department, told the AFP news agency that police acted on a tip off that Nazu, who had fled to Bangladesh after being identified from CCTV footage of the attack, was due to return to Kolkata by train. In May, the police said they had arrested Milon Sarkar and described him as the leader of the gang which attacked the convent. They said it was not clear what role the man had played in the case. During the attack in Ranaghat town on 14 March, money was stolen from the convent school and the building ransacked, before the nun was raped in the convent itself.",Police in the Indian state of West Bengal say they have arrested a man in connection with the rape of a nun at a convent in March.,BART,val,['extrinsic-NP'],['West Bengal']
